id,loss,tension
46,5.630434036254883,153.09622192382812
137,5.636096000671387,91.71270751953125
74,5.66910982131958,101.98954772949219
109,5.669837474822998,98.02230072021484
104,5.65254545211792,105.4437255859375
35,5.647187232971191,137.77346801757812
18,5.666263103485107,123.39259338378906
31,5.669729232788086,112.79316711425781
68,5.68382453918457,180.61227416992188
9,5.649202823638916,117.47480010986328
84,5.626983165740967,128.57485961914062
83,5.69320821762085,142.34442138671875
134,5.64628791809082,98.6649398803711
88,5.6253228187561035,123.4899673461914
67,5.626606464385986,160.1781768798828
112,5.6996660232543945,115.53886413574219
79,5.656057357788086,142.56552124023438
55,5.642292022705078,106.3950424194336
12,5.655732154846191,124.9625244140625
13,5.6381402015686035,126.81765747070312
102,5.664092540740967,102.98722839355469
92,5.6565070152282715,138.0315399169922
1,5.60395622253418,154.38465881347656
11,5.569953441619873,110.08490753173828
65,5.640372276306152,112.94318389892578
107,5.675366401672363,100.23052978515625
66,5.628507137298584,132.28158569335938
89,5.551891326904297,126.57380676269531
34,5.62706995010376,109.46218872070312
99,5.602842807769775,118.05523681640625
123,5.577568531036377,109.00955963134766
116,5.6429314613342285,111.07909393310547
43,5.616898059844971,105.41822814941406
108,5.640197277069092,122.5477066040039
128,5.634393692016602,104.99138641357422
29,5.620785236358643,97.90190124511719
69,5.648868560791016,181.45578002929688
50,5.588352680206299,120.86383819580078
5,5.611666679382324,117.25376892089844
39,5.654419898986816,116.81431579589844
19,5.627493858337402,113.61650848388672
113,5.647245407104492,102.02957153320312
139,5.657315731048584,103.65792083740234
71,5.649413108825684,160.79867553710938
26,5.614130020141602,151.5771026611328
117,5.633288860321045,105.85958862304688
6,5.609551429748535,126.4345703125
76,5.666559219360352,130.29135131835938
17,5.6104536056518555,114.02313232421875
20,5.5986762046813965,117.85477447509766
10,5.653223514556885,126.68730926513672
122,5.591071128845215,105.23745727539062
62,5.645041465759277,105.42357635498047
36,5.579254150390625,94.57783508300781
73,5.567169666290283,109.40727996826172
98,5.668182849884033,122.98027038574219
25,5.656136512756348,110.17816162109375
120,5.633078098297119,121.73461151123047
105,5.621921539306641,100.67488861083984
57,5.5991129875183105,118.98094940185547
106,5.660279750823975,109.39075469970703
118,5.6889424324035645,129.93429565429688
126,5.620153427124023,99.46076965332031
4,5.684365749359131,123.19667053222656
125,5.624814510345459,127.47270965576172
40,5.6166582107543945,120.23442077636719
96,5.626458644866943,125.45416259765625
45,5.647100925445557,126.21748352050781
54,5.628777027130127,132.98135375976562
8,5.648169040679932,108.6949234008789
32,5.658468246459961,123.81675720214844
14,5.625952243804932,107.97124481201172
63,5.719872951507568,94.9067611694336
41,5.641395568847656,137.82052612304688
23,5.651031494140625,144.96697998046875
90,5.658782958984375,132.21328735351562
100,5.64900541305542,94.67692565917969
138,5.590212821960449,94.77365112304688
130,5.6793131828308105,95.2880630493164
48,5.572466850280762,114.46026611328125
